"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C17998","Unknown","Has Synonym","molecular_analysis_method","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","normal_tumor_genotype_snp_match","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_pathologic_n","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","who_cns_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","micropapillary_features","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hormonal_contraceptive_use","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_staging_system_edition","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","biospecimen_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","target_capture_kit","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","haart_treatment_indicator","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_clinical_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_regression_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","composition","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relationship_primary_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","non_nodal_regional_disease","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","transglottic_extension","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relative_with_cancer_history","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","chipseq_target","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hepatitis_sustained_virological_response","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","imaging_result","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ann_arbor_clinical_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","test_result","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","comorbidity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","child_pugh_classification","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","reflux_treatment_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","time_between_waking_and_first_smoke","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","lost_to_followup","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","vascular_invasion_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","inss_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_descriptor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","fragmentation_enzyme","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_intent_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","type_of_smoke_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","disease_response","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","method_of_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","goblet_cells_columnar_mucosa_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","prior_malignancy","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","who_nte_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","vascular_invasion_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","lymphatic_invasion_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","metastasis_at_diagnosis_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","progression_or_recurrence_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","vital_status","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","distance_normal_to_tumor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","enneking_msts_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","peritoneal_fluid_cytological_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tissue_or_organ_of_origin","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_or_therapy","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","peripancreatic_lymph_nodes_positive","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_clinical_t","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","esophageal_columnar_dysplasia_degree","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","risk_factor_treatment","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","burkitt_lymphoma_clinical_variant","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","laterality","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_pathologic_m","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","antigen","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","residual_disease","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","secondhand_smoke_as_child","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","iss_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","coal_dust_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cause_of_death","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","laboratory_test","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","inpc_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","supratentorial_localization","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","radon_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","wilms_tumor_histologic_subtype","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_outcome","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_pathologic_t","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_effect_indicator","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","histone_variant","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","diabetes_treatment_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","synchronous_malignancy","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cdc_hiv_risk_factors","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","chemo_concurrent_to_radiation","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ovarian_surface_involvement","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","dysplasia_degree","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","alcohol_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","perineural_invasion_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","enneking_msts_metastasis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","gene_symbol","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","largest_extrapelvic_peritoneal_focus","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","variant_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","chipseq_antibody","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","diagnosis_pathologically_confirmed","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","karnofsky_performance_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","histone_family","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","progression_or_recurrence_anatomic_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_confined_to_organ_of_origin","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tissue_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","premature_at_birth","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_clinical_n","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ethnicity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cog_liver_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ovarian_specimen_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ecog_performance_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","cog_rhabdomyosarcoma_risk_group","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","esophageal_columnar_metaplasia_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","eln_risk_classification","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hormone_replacement_therapy_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","alcohol_history","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","preservation_method","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","barretts_esophagus_goblet_cells_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","sample_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","columnar_mucosa_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hpv_positive_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","non_nodal_tumor_deposits","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ploidy","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","gastric_esophageal_junction_involvement","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","enneking_msts_grade","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","morphology","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","vital_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","zygosity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_effect","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","mitosis_karyorrhexis_index","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","procedures_performed","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","primary_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","inpc_histologic_group","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","irs_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","initial_disease_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_frequency","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","respirable_crystalline_silica_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","alcohol_intensity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","anaplasia_present_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","comorbidity_method_of_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","igcccg_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","lymph_node_involved_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_pathologic_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","classification_of_tumor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_clinical_m","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","pregnancy_outcome","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","variant_origin","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","figo_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","enneking_msts_tumor_site","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","risk_factor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","race","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","exposure_duration","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","primary_diagnosis","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_focality","Unknown","PT","GDC","N/A"
