"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C17998","Unknown","Has Synonym","NTGSNPM","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","HISFAM","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","TSS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","DTT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","COMORBID","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","LTF","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","DISPTYPE","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","TBWFS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","RT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","MMC","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ECMP","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ST","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","GENE","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","APM","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","IGCCCGS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","VART","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","AP","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","BLCV","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","MORPH","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","TREATF","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","COGRS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PRT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PIP","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","VIT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","MARGINSTAT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","RPD","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","CHIPT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PR","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PRESMET","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PROPRE","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","DR","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","MKI","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","PRAS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","INSSS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","FSPD","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","APS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","BEGCP","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","CAN","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","VARO","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","METD","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","IFS","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","GEJI","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","TOO","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ACM","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","REFLUXTT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ALT","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","HPVPT","Unknown","PT","GDC","N/A"
